NE PAS TOUCHER MERCI
Bulbasaur;Bulbizarre
Ivysaur;Herbizarre
Venusaur;Florizarre
Charmander;Salameche
Charmeleon;Reptincel
Charizard;Dracaufeu
Squirtle;Carapuce
Wartortle;Carabaffe
Blastoise;Tortank
Caterpie;Chenipan
Metapod;Chrysacier
Butterfree;Papilusion
Weedle;Aspicot
Kakuna;Coconfort
Beedrill;Dardargnan
Pidgey;Roucool
Pidgeotto;Roucoups
Pidgeot;Roucarnage
Rattata;Rattata
Raticate;Rattatac
Spearow;Piafabec
Fearow;Rapasdepic
Ekans;Abo
Arbok;Arbok
Pikachu;Pikachu
Raichu;Raichu
Sandshrew;Sabelette
Sandslash;Sablaireau
Nidorana;Nidoran
Nidorina;Nidorina
Nidoqueen;Nidoqueen
Nidorana;Nidoran
Nidorino;Nidorino
Nidoking;Nidoking
Clefairy;Melofee
Clefable;Melodelfe
Vulpix;Goupix
Ninetales;Feunard
Jigglypuff;Rondoudou
Wigglytuff;Grodoudou
Zubat;Nosferapti
Golbat;Nosferalto
Oddish;Mystherbe
Gloom;Ortide
Vileplume;Rafflesia
Paras;Paras
Parasect;Parasect
Venonat;Mimitoss
Venomoth;Aeromite
Diglett;Taupiqueur
Dugtrio;Triopikeur
Meowth;Miaouss
Persian;Persian
Psyduck;Psykokwak
Golduck;Akwakwak
Mankey;Ferosinge
Primeape;Colossinge
Growlithe;Caninos
Arcanine;Arcanin
Poliwag;Ptitard
Poliwhirl;Têtarte
Poliwrath;Tartard
Abra;Abra
Kadabra;Kadabra
Alakazam;Alakazam
Machop;Machoc
Machoke;Machopeur
Machamp;Mackogneur
Bellsprout;Chetiflor
Weepinbell;Boustiflor
Victreebel;Empiflor
Tentacool;Tentacool
Tentacruel;Tentacruel
Geodude;Racaillou
Graveler;Gravalanch
Golem;Grolem
Ponyta;Ponyta
Rapidash;Galopa
Slowpoke;Ramoloss
Slowbro;Flagadoss
Magnemite;Magneti
Magneton;Magneton
Farfetch;Canarticho'd
Doduo;Doduo
Dodrio;Dodrio
Seel;Otaria
Dewgong;Lamantine
Grimer;Tadmorv
Muk;Grotadmorv
Shellder;Kokiyas
Cloyster;Crustabri
Gastly;Fantominus
Haunter;Spectrum
Gengar;Ectoplasma
Onix;Onix
Drowzee;Soporifik
Hypno;Hypnomade
Krabby;Krabby
Kingler;Krabboss
Voltorb;Voltorbe
Electrode;electrode
Exeggcute;Noeunoeuf
Exeggutor;Noadkoko
Cubone;Osselait
Marowak;Ossatueur
Hitmonlee;Kicklee
Hitmonchan;Tygnon
Lickitung;Excelangue
Koffing;Smogo
Weezing;Smogogo
Rhyhorn;Rhinocorne
Rhydon;Rhinoferos
Chansey;Leveinard
Tangela;Saquedeneu
Kangaskhan;Kangourex
Horsea;Hypotrempe
Seadra;Hypocean
Goldeen;Poissirene
Seaking;Poissoroy
Staryu;Stari
Starmie;Staross
Mr.Mime;M;Mime
Scyther;Insecateur
Jynx;Lippoutou
Electabuzz;elektek
Magmar;Magmar
Pinsir;Scarabrute
Tauros;Tauros
Magikarp;Magicarpe
Gyarados;Leviator
Lapras;Lokhlass
Ditto;Metamorph
Eevee;evoli
Vaporeon;Aquali
Jolteon;Voltali
Flareon;Pyroli
Porygon;Porygon
Omanyte;Amonita
Omastar;Amonistar
Kabuto;Kabuto
Kabutops;Kabutops
Aerodactyl;Ptera
Snorlax;Ronflex
Articuno;Artikodin
Zapdos;electhor
Moltres;Sulfura
Dratini;Minidraco
Dragonair;Draco
Dragonite;Dracolosse
Mewtwo;Mewtwo
Mew;Mew
